L0	L1	L2	L3	L4	L5
R06.6	R06.6	R06	R00-R09	R00-R99	*
W33.29	W33.2	W33	W20-W49	V01-Y98	*
Y08.11	Y08.1	Y08	X85-Y09	V01-Y98	*
X12.20	X12.2	X12	X10-X19	V01-Y98	*
V11.31	V11.3	V11	V10-V19	V01-Y98	*
F60.4	F60.4	F60	F60-F69	F00-F99	*
V35.34	V35.3	V35	V30-V39	V01-Y98	*
I12.9	I12.9	I12	I10-I15	I00-I99	*
N75.9	N75.9	N75	N70-N77	N00-N99	*
Y16.32	Y16.3	Y16	Y10-Y34	V01-Y98	*
X41.30	X41.3	X41	X40-X49	V01-Y98	*
Y14.24	Y14.2	Y14	Y10-Y34	V01-Y98	*
Y18.6	Y18.6	Y18	Y10-Y34	V01-Y98	*
W83.69	W83.6	W83	W75-W84	V01-Y98	*
W27.64	W27.6	W27	W20-W49	V01-Y98	*
X35.81	X35.8	X35	X30-X39	V01-Y98	*
S23.4	S23.4	S23	S20-S29	S00-T98	*
V85.60	V85.6	V85	V80-V89	V01-Y98	*
M16.9	M16.9	M16	M15-M19	M00-M99	*
M54.3	M54.3	M54	M50-M54	M00-M99	*
V69.23	V69.2	V69	V60-V69	V01-Y98	*
X70.52	X70.5	X70	X60-X84	V01-Y98	*
L25.2	L25.2	L25	L20-L30	L00-L99	*
Y84.8	Y84.8	Y84	Y83-Y84	V01-Y98	*
X19.94	X19.9	X19	X10-X19	V01-Y98	*
S23.1	S23.1	S23	S20-S29	S00-T98	*
X03.50	X03.5	X03	X00-X09	V01-Y98	*
W06.49	W06.4	W06	W00-W19	V01-Y98	*
W05.93	W05.9	W05	W00-W19	V01-Y98	*
W74.3	W74.3	W74	W65-W74	V01-Y98	*
T02.50	T02.5	T02	T00-T07	S00-T98	*
W05.83	W05.8	W05	W00-W19	V01-Y98	*
W78.92	W78.9	W78	W75-W84	V01-Y98	*
L65.1	L65.1	L65	L60-L75	L00-L99	*
X03.63	X03.6	X03	X00-X09	V01-Y98	*
X85.41	X85.4	X85	X85-Y09	V01-Y98	*
X72.92	X72.9	X72	X60-X84	V01-Y98	*
W16.93	W16.9	W16	W00-W19	V01-Y98	*
Q65.1	Q65.1	Q65	Q65-Q79	Q00-Q99	*
V35.40	V35.4	V35	V30-V39	V01-Y98	*
Q96.0	Q96.0	Q96	Q90-Q99	Q00-Q99	*
V67.51	V67.5	V67	V60-V69	V01-Y98	*
V77.71	V77.7	V77	V70-V79	V01-Y98	*
V27.38	V27.3	V27	V20-V29	V01-Y98	*
V39.89	V39.8	V39	V30-V39	V01-Y98	*
X24.41	X24.4	X24	X20-X29	V01-Y98	*
V29.30	V29.3	V29	V20-V29	V01-Y98	*
V28.04	V28.0	V28	V20-V29	V01-Y98	*
X02.68	X02.6	X02	X00-X09	V01-Y98	*
W12.59	W12.5	W12	W00-W19	V01-Y98	*
X40.1	X40.1	X40	X40-X49	V01-Y98	*
F17.54	F17.5	F17	F10-F19	F00-F99	*
X72.48	X72.4	X72	X60-X84	V01-Y98	*
G63.8	G63.8	G63	G60-G64	G00-G99	*
V43.19	V43.1	V43	V40-V49	V01-Y98	*
X21.8	X21.8	X21	X20-X29	V01-Y98	*
B94.1	B94.1	B94	B90-B94	A00-B99	*
V34.34	V34.3	V34	V30-V39	V01-Y98	*
X95.18	X95.1	X95	X85-Y09	V01-Y98	*
Y34.73	Y34.7	Y34	Y10-Y34	V01-Y98	*
V66.19	V66.1	V66	V60-V69	V01-Y98	*
E13.0	E13.0	E13	E10-E14	E00-E90	*
X01.6	X01.6	X01	X00-X09	V01-Y98	*
X51.4	X51.4	X51	X50-X57	V01-Y98	*
V70.22	V70.2	V70	V70-V79	V01-Y98	*
C22.4	C22.4	C22	C15-C26	C00-D48	*
V78.3	V78.3	V78	V70-V79	V01-Y98	*
S07.0	S07.0	S07	S00-S09	S00-T98	*
V60.42	V60.4	V60	V60-V69	V01-Y98	*
W84.51	W84.5	W84	W75-W84	V01-Y98	*
W03.93	W03.9	W03	W00-W19	V01-Y98	*
N43.0	N43.0	N43	N40-N51	N00-N99	*
X06.19	X06.1	X06	X00-X09	V01-Y98	*
X88.38	X88.3	X88	X85-Y09	V01-Y98	*
S42.21	S42.2	S42	S40-S49	S00-T98	*
W44.90	W44.9	W44	W20-W49	V01-Y98	*
Z58.0	Z58.0	Z58	Z55-Z65	Z00-Z99	*
W75.03	W75.0	W75	W75-W84	V01-Y98	*
V15.98	V15.9	V15	V10-V19	V01-Y98	*
W57.81	W57.8	W57	W50-W64	V01-Y98	*
V82.8	V82.8	V82	V80-V89	V01-Y98	*
X71.89	X71.8	X71	X60-X84	V01-Y98	*
T03	T03	T03	T00-T07	S00-T98	*
S31.4	S31.4	S31	S30-S39	S00-T98	*
X83.32	X83.3	X83	X60-X84	V01-Y98	*
Y64.8	Y64.8	Y64	Y60-Y69	V01-Y98	*
W45.3	W45.3	W45	W20-W49	V01-Y98	*
V10.34	V10.3	V10	V10-V19	V01-Y98	*
S85.3	S85.3	S85	S80-S89	S00-T98	*
V54.2	V54.2	V54	V50-V59	V01-Y98	*
B95.5	B95.5	B95	B95-B97	A00-B99	*
X54.2	X54.2	X54	X50-X57	V01-Y98	*
V17.19	V17.1	V17	V10-V19	V01-Y98	*
I08	I08	I08	I05-I09	I00-I99	*
X10.92	X10.9	X10	X10-X19	V01-Y98	*
T32.2	T32.2	T32	T29-T32	S00-T98	*
W08.51	W08.5	W08	W00-W19	V01-Y98	*
W17.4	W17.4	W17	W00-W19	V01-Y98	*
X13.11	X13.1	X13	X10-X19	V01-Y98	*
W06.3	W06.3	W06	W00-W19	V01-Y98	*
D07.0	D07.0	D07	D00-D09	C00-D48	*
W69.40	W69.4	W69	W65-W74	V01-Y98	*
V90.02	V90.0	V90	V90-V94	V01-Y98	*
Q41.2	Q41.2	Q41	Q38-Q45	Q00-Q99	*
W10.21	W10.2	W10	W00-W19	V01-Y98	*
